Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
"$100,000+",alabama,AL,Trump,32,66,0,9,9
"$100,000+",washington,WA,Biden,61,36,12,0,12
"$100,000+",oregon,OR,Biden,65,33,7,0,7
"$100,000+",california,CA,Biden,62,36,55,0,55
"$100,000+",nevada,NV,Trump,44,54,0,6,6
"$100,000+",utah,UT,Trump,38,58,0,6,6
"$100,000+",arizona,AZ,Trump,44,53,0,11,11
"$100,000+",new-mexico,NM,Biden,56,41,5,0,5
"$100,000+",colorado,CO,Biden,59,38,9,0,9
"$100,000+",montana,MT,Trump,49,49,0,3,3
"$100,000+",texas,TX,Trump,41,58,0,38,38
"$100,000+",louisiana,LA,Trump,33,65,0,8,8
"$100,000+",missouri,MO,Trump,46,53,0,10,10
"$100,000+",iowa,IA,Trump,47,52,0,6,6
"$100,000+",minnesota,MN,Biden,53,44,10,0,10
"$100,000+",wisconsin,WI,Trump,47,51,0,10,10
"$100,000+",michigan,MI,Trump,49,50,0,16,16
"$100,000+",illinois,IL,Biden,59,38,20,0,20
"$100,000+",mississippi,MS,Trump,31,68,0,6,6
"$100,000+",georgia,GA,Trump,46,53,0,16,16
"$100,000+",florida,FL,Trump,41,58,0,29,29
"$100,000+",north-carolina,NC,Trump,49,50,0,15,15
"$100,000+",virginia,VA,Biden,53,45,13,0,13
"$100,000+",kentucky,KY,Trump,34,64,0,8,8
"$100,000+",pennsylvania,PA,Biden,50,49,20,0,20
"$100,000+",new-york,NY,Biden,56,43,29,0,29
"$100,000+",new-jersey,NJ,Biden,55,43,14,0,14
"$100,000+",massachusetts,MA,Biden,63,34,11,0,11
"$100,000+",maine,ME,Biden,58,37,4,0,4
"$100,000+",new-hampshire,NH,Biden,52,46,4,0,4
"$100,000+",connecticut,CT,Biden,59,39,7,0,7
"$100,000+",maryland,MD,Biden,67,31,10,0,10
"$100,000+",ohio,OH,Trump,42,56,0,18,18
"$100,000+",indiana,IN,Trump,41,56,0,11,11
"$100,000+",nebraska,NE,Trump,39,56,0,5,5
"$100,000+",kansas,KS,Trump,46,52,0,6,6
"$100,000+",tennessee,TN,Trump,32,67,0,11,11
"$100,000+",delaware,DE,Biden,60,39,3,0,3
"$100,000+",alaska,AK,Trump,38,60,0,3,3
"$100,000+",hawaii,HI,Biden,55,42,4,0,4
"$100,000+",south-carolina,SC,Trump,36,62,0,9,9
"$25,000 - $49,999",alabama,AL,Trump,36,63,0,9,9
"$25,000 - $49,999",washington,WA,Biden,57,41,12,0,12
"$25,000 - $49,999",oregon,OR,Biden,53,45,7,0,7
"$25,000 - $49,999",california,CA,Biden,64,34,55,0,55
"$25,000 - $49,999",nevada,NV,Biden,56,41,6,0,6
"$25,000 - $49,999",idaho,ID,Trump,27,70,0,4,4
"$25,000 - $49,999",utah,UT,Trump,39,58,0,6,6
"$25,000 - $49,999",arizona,AZ,Biden,52,46,11,0,11
"$25,000 - $49,999",new-mexico,NM,Biden,55,43,5,0,5
"$25,000 - $49,999",colorado,CO,Biden,55,43,9,0,9
"$25,000 - $49,999",montana,MT,Trump,41,57,0,3,3
"$25,000 - $49,999",oklahoma,OK,Trump,43,55,0,7,7
"$25,000 - $49,999",texas,TX,Trump,49,49,0,38,38
"$25,000 - $49,999",louisiana,LA,Trump,42,56,0,8,8
"$25,000 - $49,999",arkansas,AR,Trump,39,61,0,6,6
"$25,000 - $49,999",missouri,MO,Trump,43,55,0,10,10
"$25,000 - $49,999",iowa,IA,Trump,47,52,0,6,6
