Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
"$75,000 - $99,999",alabama,AL,Trump,30,68,0,9,9
"$75,000 - $99,999",washington,WA,Biden,59,38,12,0,12
"$75,000 - $99,999",oregon,OR,Biden,59,39,7,0,7
"$75,000 - $99,999",california,CA,Biden,58,39,55,0,55
"$75,000 - $99,999",nevada,NV,Trump,43,54,0,6,6
"$75,000 - $99,999",utah,UT,Trump,37,60,0,6,6
"$75,000 - $99,999",arizona,AZ,Trump,47,52,0,11,11
"$75,000 - $99,999",new-mexico,NM,Trump,44,52,0,5,5
"$75,000 - $99,999",colorado,CO,Biden,53,46,9,0,9
"$75,000 - $99,999",montana,MT,Trump,35,62,0,3,3
"$75,000 - $99,999",texas,TX,Trump,41,58,0,38,38
"$75,000 - $99,999",louisiana,LA,Trump,31,68,0,8,8
"$75,000 - $99,999",missouri,MO,Trump,38,59,0,10,10
"$75,000 - $99,999",iowa,IA,Trump,35,63,0,6,6
"$75,000 - $99,999",minnesota,MN,Biden,52,46,10,0,10
"$75,000 - $99,999",wisconsin,WI,Trump,48,51,0,10,10
"$75,000 - $99,999",michigan,MI,Trump,43,56,0,16,16
"$75,000 - $99,999",illinois,IL,Biden,54,45,20,0,20
"$75,000 - $99,999",mississippi,MS,Trump,30,70,0,6,6
"$75,000 - $99,999",georgia,GA,Trump,48,50,0,16,16
"$75,000 - $99,999",florida,FL,Biden,52,47,29,0,29
"$75,000 - $99,999",north-carolina,NC,Biden,50,49,15,0,15
"$75,000 - $99,999",virginia,VA,Biden,54,44,13,0,13
"$75,000 - $99,999",kentucky,KY,Trump,36,63,0,8,8
"$75,000 - $99,999",pennsylvania,PA,Trump,48,51,0,20,20
"$75,000 - $99,999",new-york,NY,Trump,47,51,0,29,29
"$75,000 - $99,999",new-jersey,NJ,Biden,54,46,14,0,14
"$75,000 - $99,999",massachusetts,MA,Biden,65,34,11,0,11
"$75,000 - $99,999",maine,ME,Biden,56,43,4,0,4
"$75,000 - $99,999",new-hampshire,NH,Biden,56,41,4,0,4
"$75,000 - $99,999",connecticut,CT,Biden,53,46,7,0,7
"$75,000 - $99,999",maryland,MD,Biden,60,38,10,0,10
"$75,000 - $99,999",ohio,OH,Trump,45,53,0,18,18
"$75,000 - $99,999",indiana,IN,Trump,37,60,0,11,11
"$75,000 - $99,999",nebraska,NE,Trump,36,63,0,5,5
"$75,000 - $99,999",kansas,KS,Trump,32,68,0,6,6
"$75,000 - $99,999",tennessee,TN,Trump,36,63,0,11,11
"$75,000 - $99,999",delaware,DE,Biden,52,46,3,0,3
"$75,000 - $99,999",alaska,AK,Trump,40,51,0,3,3
"$75,000 - $99,999",south-carolina,SC,Trump,38,60,0,9,9
