Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
45-64,alabama,AL,Trump,36,63,0,9,9
45-64,alaska,AK,Trump,39,57,0,3,3
45-64,arizona,AZ,Trump,46,53,0,11,11
45-64,arkansas,AR,Trump,33,64,0,6,6
45-64,california,CA,Biden,60,38,55,0,55
45-64,colorado,CO,Trump,48,49,0,9,9
45-64,connecticut,CT,Biden,57,42,7,0,7
45-64,delaware,DE,Biden,58,40,3,0,3
45-64,florida,FL,Trump,43,56,0,29,29
45-64,georgia,GA,Trump,47,52,0,16,16
45-64,hawaii,HI,Biden,64,33,4,0,4
45-64,idaho,ID,Trump,30,68,0,4,4
45-64,illinois,IL,Biden,53,45,20,0,20
45-64,indiana,IN,Trump,35,63,0,11,11
45-64,iowa,IA,Trump,45,54,0,6,6
45-64,kansas,KS,Trump,39,60,0,6,6
45-64,kentucky,KY,Trump,34,65,0,8,8
45-64,louisiana,LA,Trump,39,59,0,8,8
45-64,maine,ME,Trump,49,49,0,4,4
45-64,maryland,MD,Biden,62,37,10,0,10
45-64,massachusetts,MA,Biden,60,38,11,0,11
45-64,michigan,MI,Trump,47,52,0,16,16
45-64,minnesota,MN,Trump,48,50,0,10,10
45-64,mississippi,MS,Trump,40,58,0,6,6
45-64,missouri,MO,Trump,38,61,0,10,10
45-64,montana,MT,Trump,34,63,0,3,3
45-64,nebraska,NE,Trump,35,63,0,5,5
45-64,nevada,NV,Trump,45,53,0,6,6
45-64,new-hampshire,NH,Trump,48,51,0,4,4
45-64,new-jersey,NJ,Biden,55,44,14,0,14
45-64,new-mexico,NM,Biden,49,48,5,0,5
45-64,new-york,NY,Biden,57,42,29,0,29
45-64,north-carolina,NC,Trump,48,52,0,15,15
45-64,ohio,OH,Trump,42,56,0,18,18
45-64,oklahoma,OK,Trump,29,70,0,7,7
45-64,oregon,OR,Biden,53,46,7,0,7
45-64,pennsylvania,PA,Trump,46,52,0,20,20
45-64,rhode-island,RI,Trump,49,50,0,4,4
45-64,south-carolina,SC,Trump,39,60,0,9,9
45-64,tennessee,TN,Trump,35,64,0,11,11
45-64,texas,TX,Trump,41,57,0,38,38
45-64,utah,UT,Trump,33,64,0,6,6
45-64,virginia,VA,Biden,51,48,13,0,13
45-64,washington,WA,Biden,58,40,12,0,12
45-64,west-virginia,WV,Trump,30,69,0,5,5
45-64,wisconsin,WI,Trump,47,52,0,10,10
