Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
65,alabama,AL,Trump,30,69,0,9,9
65,alaska,AK,Trump,48,52,0,3,3
65,arizona,AZ,Trump,46,53,0,11,11
65,arkansas,AR,Trump,27,71,0,6,6
65,california,CA,Biden,61,38,55,0,55
65,colorado,CO,Biden,53,46,9,0,9
65,connecticut,CT,Biden,59,39,7,0,7
65,delaware,DE,Biden,54,45,3,0,3
65,florida,FL,Trump,44,55,0,29,29
65,georgia,GA,Trump,43,55,0,16,16
65,hawaii,HI,Biden,67,32,4,0,4
65,idaho,ID,Trump,34,63,0,4,4
65,illinois,IL,Biden,57,41,20,0,20
65,indiana,IN,Trump,41,57,0,11,11
65,iowa,IA,Trump,42,57,0,6,6
65,kansas,KS,Trump,40,59,0,6,6
65,kentucky,KY,Trump,37,62,0,8,8
65,louisiana,LA,Trump,36,64,0,8,8
65,maine,ME,Biden,55,42,4,0,4
65,maryland,MD,Biden,64,35,10,0,10
65,massachusetts,MA,Biden,67,32,11,0,11
65,michigan,MI,Biden,51,48,16,0,16
65,minnesota,MN,Trump,49,50,0,10,10
65,mississippi,MS,Trump,32,67,0,6,6
65,missouri,MO,Trump,38,61,0,10,10
65,montana,MT,Trump,40,58,0,3,3
65,nebraska,NE,Trump,35,64,0,5,5
65,nevada,NV,Trump,41,58,0,6,6
65,new-hampshire,NH,Biden,53,46,4,0,4
65,new-jersey,NJ,Biden,54,46,14,0,14
65,new-mexico,NM,Biden,55,44,5,0,5
65,new-york,NY,Biden,52,48,29,0,29
65,north-carolina,NC,Trump,45,55,0,15,15
65,ohio,OH,Trump,44,55,0,18,18
65,oklahoma,OK,Trump,28,71,0,7,7
65,oregon,OR,Biden,54,45,7,0,7
65,pennsylvania,PA,Trump,47,53,0,20,20
65,rhode-island,RI,Biden,59,39,4,0,4
65,south-carolina,SC,Trump,42,57,0,9,9
65,tennessee,TN,Trump,35,64,0,11,11
65,texas,TX,Trump,41,59,0,38,38
65,utah,UT,Trump,32,66,0,6,6
65,virginia,VA,Biden,53,46,13,0,13
65,washington,WA,Biden,55,44,12,0,12
65,west-virginia,WV,Trump,30,69,0,5,5
65,wisconsin,WI,Trump,46,53,0,10,10
