Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Catholic,alabama,AL,Trump,40,59,0,9,9
Catholic,arizona,AZ,Biden,51,49,11,0,11
Catholic,california,CA,Biden,65,33,55,0,55
Catholic,colorado,CO,Trump,49,49,0,9,9
Catholic,connecticut,CT,Trump,47,51,0,7,7
Catholic,delaware,DE,Trump,48,51,0,3,3
Catholic,florida,FL,Trump,45,55,0,29,29
Catholic,georgia,GA,Trump,46,53,0,16,16
Catholic,illinois,IL,Biden,51,48,20,0,20
Catholic,indiana,IN,Trump,36,60,0,11,11
Catholic,iowa,IA,Trump,46,53,0,6,6
Catholic,kansas,KS,Trump,42,55,0,6,6
Catholic,kentucky,KY,Trump,38,60,0,8,8
Catholic,louisiana,LA,Trump,28,71,0,8,8
Catholic,maine,ME,Biden,50,49,4,0,4
Catholic,maryland,MD,Biden,51,48,10,0,10
Catholic,massachusetts,MA,Biden,58,41,11,0,11
Catholic,michigan,MI,Trump,44,55,0,16,16
Catholic,minnesota,MN,Trump,45,53,0,10,10
Catholic,missouri,MO,Trump,39,60,0,10,10
Catholic,montana,MT,Trump,50,50,0,3,3
Catholic,nebraska,NE,Trump,31,65,0,5,5
Catholic,nevada,NV,Trump,45,53,0,6,6
Catholic,new-hampshire,NH,Trump,43,56,0,4,4
Catholic,new-jersey,NJ,Trump,47,52,0,14,14
Catholic,new-mexico,NM,Biden,57,42,5,0,5
Catholic,new-york,NY,Trump,47,53,0,29,29
Catholic,north-carolina,NC,Trump,45,53,0,15,15
Catholic,ohio,OH,Trump,42,57,0,18,18
Catholic,oregon,OR,Biden,56,42,7,0,7
Catholic,pennsylvania,PA,Trump,44,55,0,20,20
Catholic,rhode-island,RI,Trump,49,50,0,4,4
Catholic,south-carolina,SC,Trump,40,60,0,9,9
Catholic,tennessee,TN,Trump,37,61,0,11,11
Catholic,texas,TX,Biden,51,48,38,0,38
Catholic,virginia,VA,Trump,47,50,0,13,13
Catholic,washington,WA,Biden,56,43,12,0,12
Catholic,wisconsin,WI,Trump,43,56,0,10,10
