Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
College Grad,alabama,AL,Trump,39,58,0,9,9
College Grad,alaska,AK,Biden,48,44,3,0,3
College Grad,arizona,AZ,Biden,52,46,11,0,11
College Grad,arkansas,AR,Trump,47,53,0,6,6
College Grad,california,CA,Biden,68,30,55,0,55
College Grad,colorado,CO,Biden,63,34,9,0,9
College Grad,connecticut,CT,Biden,64,34,7,0,7
College Grad,delaware,DE,Biden,57,39,3,0,3
College Grad,florida,FL,Trump,49,50,0,29,29
College Grad,georgia,GA,Biden,51,47,16,0,16
College Grad,hawaii,HI,Biden,75,22,4,0,4
College Grad,idaho,ID,Trump,37,57,0,4,4
College Grad,illinois,IL,Biden,61,38,20,0,20
College Grad,indiana,IN,Trump,45,51,0,11,11
College Grad,iowa,IA,Trump,48,49,0,6,6
College Grad,kansas,KS,Trump,47,52,0,6,6
College Grad,kentucky,KY,Trump,41,56,0,8,8
College Grad,louisiana,LA,Trump,39,60,0,8,8
College Grad,maine,ME,Biden,68,29,4,0,4
College Grad,maryland,MD,Biden,69,29,10,0,10
College Grad,massachusetts,MA,Biden,73,25,11,0,11
College Grad,michigan,MI,Biden,55,44,16,0,16
College Grad,minnesota,MN,Biden,58,40,10,0,10
College Grad,mississippi,MS,Trump,43,56,0,6,6
College Grad,missouri,MO,Trump,47,51,0,10,10
College Grad,montana,MT,Biden,49,48,3,0,3
College Grad,nebraska,NE,Trump,44,52,0,5,5
College Grad,nevada,NV,Biden,54,44,6,0,6
College Grad,new-hampshire,NH,Biden,58,40,4,0,4
College Grad,new-jersey,NJ,Biden,63,36,14,0,14
College Grad,new-mexico,NM,Biden,56,40,5,0,5
College Grad,new-york,NY,Biden,67,32,29,0,29
College Grad,north-carolina,NC,Biden,54,44,15,0,15
College Grad,ohio,OH,Biden,49,48,18,0,18
College Grad,oklahoma,OK,Trump,30,69,0,7,7
College Grad,oregon,OR,Biden,67,30,7,0,7
College Grad,pennsylvania,PA,Biden,57,41,20,0,20
College Grad,rhode-island,RI,Biden,53,45,4,0,4
College Grad,south-carolina,SC,Trump,40,58,0,9,9
College Grad,tennessee,TN,Trump,38,60,0,11,11
College Grad,texas,TX,Trump,46,51,0,38,38
College Grad,utah,UT,Trump,42,52,0,6,6
College Grad,virginia,VA,Biden,61,36,13,0,13
College Grad,washington,WA,Biden,65,33,12,0,12
College Grad,west-virginia,WV,Trump,37,56,0,5,5
College Grad,wisconsin,WI,Biden,52,47,10,0,10
