Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Did not vote in 2016,alabama,AL,Trump,41,57,0,9,9
Did not vote in 2016,arizona,AZ,Biden,57,41,11,0,11
Did not vote in 2016,arkansas,AR,Trump,37,58,0,6,6
Did not vote in 2016,california,CA,Biden,71,26,55,0,55
Did not vote in 2016,colorado,CO,Biden,61,36,9,0,9
Did not vote in 2016,connecticut,CT,Biden,64,32,7,0,7
Did not vote in 2016,delaware,DE,Biden,61,36,3,0,3
Did not vote in 2016,florida,FL,Biden,56,42,29,0,29
Did not vote in 2016,georgia,GA,Biden,59,38,16,0,16
Did not vote in 2016,illinois,IL,Biden,59,38,20,0,20
Did not vote in 2016,indiana,IN,Trump,47,49,0,11,11
Did not vote in 2016,iowa,IA,Biden,52,46,6,0,6
Did not vote in 2016,kansas,KS,Trump,40,58,0,6,6
Did not vote in 2016,kentucky,KY,Trump,47,51,0,8,8
Did not vote in 2016,louisiana,LA,Biden,51,47,8,0,8
Did not vote in 2016,maine,ME,Biden,53,46,4,0,4
Did not vote in 2016,maryland,MD,Biden,69,31,10,0,10
Did not vote in 2016,massachusetts,MA,Biden,68,30,11,0,11
Did not vote in 2016,michigan,MI,Biden,53,45,16,0,16
Did not vote in 2016,minnesota,MN,Biden,62,37,10,0,10
Did not vote in 2016,mississippi,MS,Trump,42,57,0,6,6
Did not vote in 2016,missouri,MO,Trump,46,51,0,10,10
Did not vote in 2016,nebraska,NE,Biden,52,47,5,0,5
Did not vote in 2016,nevada,NV,Biden,56,40,6,0,6
Did not vote in 2016,new-hampshire,NH,Biden,68,32,4,0,4
Did not vote in 2016,new-jersey,NJ,Biden,61,38,14,0,14
Did not vote in 2016,new-mexico,NM,Biden,65,33,5,0,5
Did not vote in 2016,new-york,NY,Biden,57,40,29,0,29
Did not vote in 2016,north-carolina,NC,Biden,52,46,15,0,15
Did not vote in 2016,ohio,OH,Biden,50,48,18,0,18
Did not vote in 2016,oklahoma,OK,Trump,43,52,0,7,7
Did not vote in 2016,oregon,OR,Biden,57,39,7,0,7
Did not vote in 2016,pennsylvania,PA,Biden,56,43,20,0,20
Did not vote in 2016,south-carolina,SC,Biden,51,48,9,0,9
Did not vote in 2016,tennessee,TN,Trump,43,54,0,11,11
Did not vote in 2016,texas,TX,Biden,54,44,38,0,38
Did not vote in 2016,utah,UT,Trump,42,52,0,6,6
Did not vote in 2016,virginia,VA,Biden,55,42,13,0,13
Did not vote in 2016,washington,WA,Biden,64,32,12,0,12
Did not vote in 2016,wisconsin,WI,Biden,57,42,10,0,10
