Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Election Day,alabama,AL,Trump,31,67,0,9,9
Election Day,california,CA,Trump,41,57,0,55,55
Election Day,nevada,NV,Trump,30,67,0,6,6
Election Day,idaho,ID,Trump,12,86,0,4,4
Election Day,utah,UT,Trump,18,80,0,6,6
Election Day,arizona,AZ,Trump,33,66,0,11,11
Election Day,new-mexico,NM,Trump,34,63,0,5,5
Election Day,colorado,CO,Trump,32,66,0,9,9
Election Day,oklahoma,OK,Trump,26,73,0,7,7
Election Day,texas,TX,Trump,36,62,0,38,38
Election Day,louisiana,LA,Trump,34,64,0,8,8
Election Day,arkansas,AR,Trump,32,65,0,6,6
Election Day,missouri,MO,Trump,34,64,0,10,10
Election Day,iowa,IA,Trump,22,75,0,6,6
Election Day,minnesota,MN,Trump,32,66,0,10,10
Election Day,wisconsin,WI,Trump,26,72,0,10,10
Election Day,michigan,MI,Trump,28,70,0,16,16
Election Day,illinois,IL,Trump,34,64,0,20,20
Election Day,mississippi,MS,Trump,36,63,0,6,6
Election Day,georgia,GA,Trump,33,65,0,16,16
Election Day,florida,FL,Trump,30,69,0,29,29
Election Day,north-carolina,NC,Trump,32,67,0,15,15
Election Day,virginia,VA,Trump,33,66,0,13,13
Election Day,west-virginia,WV,Trump,18,80,0,5,5
Election Day,kentucky,KY,Trump,18,80,0,8,8
Election Day,pennsylvania,PA,Trump,32,67,0,20,20
Election Day,new-york,NY,Trump,38,60,0,29,29
Election Day,new-jersey,NJ,Trump,43,56,0,14,14
Election Day,massachusetts,MA,Trump,40,58,0,11,11
Election Day,maine,ME,Trump,33,63,0,4,4
Election Day,new-hampshire,NH,Trump,43,55,0,4,4
Election Day,rhode-island,RI,Trump,34,64,0,4,4
Election Day,connecticut,CT,Trump,46,52,0,7,7
Election Day,maryland,MD,Trump,44,55,0,10,10
Election Day,ohio,OH,Trump,29,69,0,18,18
Election Day,indiana,IN,Trump,30,68,0,11,11
Election Day,nebraska,NE,Trump,20,76,0,5,5
Election Day,kansas,KS,Trump,18,80,0,6,6
Election Day,tennessee,TN,Trump,28,68,0,11,11
Election Day,delaware,DE,Trump,46,52,0,3,3
Election Day,alaska,AK,Trump,22,72,0,3,3
Election Day,south-carolina,SC,Trump,35,64,0,9,9
