Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
HS or Less,alabama,AL,Trump,33,66,0,9,9
HS or Less,arizona,AZ,Trump,49,50,0,11,11
HS or Less,arkansas,AR,Trump,26,70,0,6,6
HS or Less,california,CA,Biden,62,36,55,0,55
HS or Less,colorado,CO,Trump,47,51,0,9,9
HS or Less,connecticut,CT,Biden,52,45,7,0,7
HS or Less,delaware,DE,Biden,61,39,3,0,3
HS or Less,florida,FL,Trump,50,50,0,29,29
HS or Less,georgia,GA,Trump,47,52,0,16,16
HS or Less,illinois,IL,Biden,54,44,20,0,20
HS or Less,indiana,IN,Trump,37,62,0,11,11
HS or Less,iowa,IA,Trump,44,54,0,6,6
HS or Less,kansas,KS,Trump,29,69,0,6,6
HS or Less,kentucky,KY,Trump,32,67,0,8,8
HS or Less,louisiana,LA,Trump,35,64,0,8,8
HS or Less,maine,ME,Trump,46,53,0,4,4
HS or Less,maryland,MD,Biden,57,42,10,0,10
HS or Less,massachusetts,MA,Biden,57,40,11,0,11
HS or Less,michigan,MI,Trump,46,53,0,16,16
HS or Less,minnesota,MN,Trump,45,54,0,10,10
HS or Less,mississippi,MS,Trump,33,67,0,6,6
HS or Less,missouri,MO,Trump,34,65,0,10,10
HS or Less,montana,MT,Trump,33,65,0,3,3
HS or Less,nebraska,NE,Trump,40,58,0,5,5
HS or Less,nevada,NV,Trump,48,50,0,6,6
HS or Less,new-hampshire,NH,Biden,50,48,4,0,4
HS or Less,new-jersey,NJ,Biden,54,44,14,0,14
HS or Less,new-mexico,NM,Trump,48,51,0,5,5
HS or Less,new-york,NY,Trump,49,50,0,29,29
HS or Less,north-carolina,NC,Trump,45,55,0,15,15
HS or Less,ohio,OH,Trump,41,58,0,18,18
HS or Less,oklahoma,OK,Trump,29,70,0,7,7
HS or Less,oregon,OR,Trump,47,51,0,7,7
HS or Less,pennsylvania,PA,Trump,42,57,0,20,20
HS or Less,south-carolina,SC,Trump,45,54,0,9,9
HS or Less,tennessee,TN,Trump,31,67,0,11,11
HS or Less,texas,TX,Trump,46,53,0,38,38
HS or Less,utah,UT,Trump,36,60,0,6,6
HS or Less,virginia,VA,Biden,51,48,13,0,13
HS or Less,washington,WA,Biden,52,46,12,0,12
HS or Less,west-virginia,WV,Trump,19,80,0,5,5
HS or Less,wisconsin,WI,Trump,46,53,0,10,10
