Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Married,alabama,AL,Trump,31,68,0,9,9
Married,arizona,AZ,Trump,43,55,0,11,11
Married,california,CA,Biden,54,44,55,0,55
Married,colorado,CO,Biden,50,46,9,0,9
Married,connecticut,CT,Biden,54,45,7,0,7
Married,delaware,DE,Biden,54,44,3,0,3
Married,florida,FL,Trump,39,60,0,29,29
Married,georgia,GA,Trump,40,60,0,16,16
Married,illinois,IL,Biden,54,44,20,0,20
Married,indiana,IN,Trump,33,65,0,11,11
Married,iowa,IA,Trump,37,61,0,6,6
Married,kansas,KS,Trump,37,60,0,6,6
Married,kentucky,KY,Trump,34,63,0,8,8
Married,louisiana,LA,Trump,29,69,0,8,8
Married,maine,ME,Trump,50,50,0,4,4
Married,maryland,MD,Biden,60,39,10,0,10
Married,massachusetts,MA,Biden,63,35,11,0,11
Married,michigan,MI,Trump,44,53,0,16,16
Married,minnesota,MN,Trump,47,51,0,10,10
Married,mississippi,MS,Trump,32,67,0,6,6
Married,missouri,MO,Trump,36,63,0,10,10
Married,montana,MT,Trump,35,64,0,3,3
Married,nebraska,NE,Trump,35,62,0,5,5
Married,nevada,NV,Trump,44,54,0,6,6
Married,new-hampshire,NH,Trump,44,54,0,4,4
Married,new-jersey,NJ,Biden,54,44,14,0,14
Married,new-mexico,NM,Trump,47,52,0,5,5
Married,new-york,NY,Trump,48,51,0,29,29
Married,north-carolina,NC,Trump,41,58,0,15,15
Married,ohio,OH,Trump,36,62,0,18,18
Married,oregon,OR,Biden,55,43,7,0,7
Married,pennsylvania,PA,Trump,45,53,0,20,20
Married,south-carolina,SC,Trump,34,65,0,9,9
Married,tennessee,TN,Trump,31,65,0,11,11
Married,texas,TX,Trump,42,57,0,38,38
Married,utah,UT,Trump,34,61,0,6,6
Married,virginia,VA,Trump,48,51,0,13,13
Married,washington,WA,Biden,54,45,12,0,12
Married,wisconsin,WI,Trump,43,56,0,10,10
