Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Men,alabama,AL,Trump,32,66,0,9,9
Men,alaska,AK,Trump,36,60,0,3,3
Men,arizona,AZ,Trump,46,52,0,11,11
Men,arkansas,AR,Trump,33,66,0,6,6
Men,california,CA,Biden,59,39,55,0,55
Men,colorado,CO,Trump,49,49,0,9,9
Men,connecticut,CT,Biden,53,45,7,0,7
Men,delaware,DE,Biden,52,46,3,0,3
Men,florida,FL,Trump,44,55,0,29,29
Men,georgia,GA,Trump,44,54,0,16,16
Men,hawaii,HI,Biden,55,41,4,0,4
Men,idaho,ID,Trump,27,72,0,4,4
Men,illinois,IL,Biden,52,46,20,0,20
Men,indiana,IN,Trump,38,59,0,11,11
Men,iowa,IA,Trump,41,57,0,6,6
Men,kansas,KS,Trump,37,59,0,6,6
Men,kentucky,KY,Trump,33,65,0,8,8
Men,louisiana,LA,Trump,36,62,0,8,8
Men,maine,ME,Biden,50,46,4,0,4
Men,maryland,MD,Biden,62,36,10,0,10
Men,massachusetts,MA,Biden,57,41,11,0,11
Men,michigan,MI,Trump,43,55,0,16,16
Men,minnesota,MN,Trump,48,50,0,10,10
Men,mississippi,MS,Trump,37,61,0,6,6
Men,missouri,MO,Trump,38,60,0,10,10
Men,montana,MT,Trump,36,61,0,3,3
Men,nebraska,NE,Trump,37,59,0,5,5
Men,nevada,NV,Trump,44,53,0,6,6
Men,new-hampshire,NH,Trump,47,51,0,4,4
Men,new-jersey,NJ,Trump,49,49,0,14,14
Men,new-mexico,NM,Biden,51,46,5,0,5
Men,new-york,NY,Biden,51,47,29,0,29
Men,north-carolina,NC,Trump,45,54,0,15,15
Men,ohio,OH,Trump,40,57,0,18,18
Men,oklahoma,OK,Trump,26,72,0,7,7
Men,oregon,OR,Biden,51,46,7,0,7
Men,pennsylvania,PA,Trump,47,52,0,20,20
Men,rhode-island,RI,Biden,59,39,4,0,4
Men,south-carolina,SC,Trump,36,62,0,9,9
Men,tennessee,TN,Trump,33,65,0,11,11
Men,texas,TX,Trump,43,55,0,38,38
Men,utah,UT,Trump,35,61,0,6,6
Men,virginia,VA,Biden,50,48,13,0,13
Men,washington,WA,Biden,54,43,12,0,12
Men,west-virginia,WV,Trump,30,68,0,5,5
Men,wisconsin,WI,Trump,45,53,0,10,10
