Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Moderate,alabama,AL,Biden,55,42,9,0,9
Moderate,alaska,AK,Biden,53,41,3,0,3
Moderate,arizona,AZ,Biden,59,37,11,0,11
Moderate,arkansas,AR,Trump,39,56,0,6,6
Moderate,california,CA,Biden,70,27,55,0,55
Moderate,colorado,CO,Biden,62,34,9,0,9
Moderate,connecticut,CT,Biden,62,35,7,0,7
Moderate,delaware,DE,Biden,73,25,3,0,3
Moderate,florida,FL,Biden,57,41,29,0,29
Moderate,georgia,GA,Biden,65,32,16,0,16
Moderate,hawaii,HI,Biden,68,29,4,0,4
Moderate,idaho,ID,Trump,47,49,0,4,4
Moderate,illinois,IL,Biden,66,31,20,0,20
Moderate,indiana,IN,Biden,53,43,11,0,11
Moderate,iowa,IA,Biden,61,36,6,0,6
Moderate,kansas,KS,Biden,53,42,6,0,6
Moderate,kentucky,KY,Trump,47,51,0,8,8
Moderate,louisiana,LA,Biden,51,45,8,0,8
Moderate,maine,ME,Biden,62,35,4,0,4
Moderate,maryland,MD,Biden,73,26,10,0,10
Moderate,massachusetts,MA,Biden,63,33,11,0,11
Moderate,michigan,MI,Biden,62,36,16,0,16
Moderate,minnesota,MN,Biden,63,34,10,0,10
Moderate,mississippi,MS,Biden,52,46,6,0,6
Moderate,missouri,MO,Biden,52,44,10,0,10
Moderate,montana,MT,Biden,56,40,3,0,3
Moderate,nebraska,NE,Biden,57,37,5,0,5
Moderate,nevada,NV,Biden,59,38,6,0,6
Moderate,new-hampshire,NH,Biden,56,41,4,0,4
Moderate,new-jersey,NJ,Biden,63,35,14,0,14
Moderate,new-mexico,NM,Biden,68,28,5,0,5
Moderate,new-york,NY,Biden,62,36,29,0,29
Moderate,north-carolina,NC,Biden,62,36,15,0,15
Moderate,ohio,OH,Biden,57,40,18,0,18
Moderate,oklahoma,OK,Trump,46,52,0,7,7
Moderate,oregon,OR,Biden,64,33,7,0,7
Moderate,pennsylvania,PA,Biden,59,39,20,0,20
Moderate,rhode-island,RI,Biden,66,33,4,0,4
Moderate,south-carolina,SC,Biden,66,32,9,0,9
Moderate,tennessee,TN,Biden,53,44,11,0,11
Moderate,texas,TX,Biden,65,33,38,0,38
Moderate,utah,UT,Biden,52,44,6,0,6
Moderate,virginia,VA,Biden,65,32,13,0,13
Moderate,washington,WA,Biden,65,30,12,0,12
Moderate,west-virginia,WV,Trump,41,53,0,5,5
Moderate,wisconsin,WI,Biden,64,34,10,0,10
