Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Post Grad,alabama,AL,Trump,44,53,0,9,9
Post Grad,alaska,AK,Biden,55,43,3,0,3
Post Grad,arizona,AZ,Biden,54,45,11,0,11
Post Grad,california,CA,Biden,64,34,55,0,55
Post Grad,colorado,CO,Biden,60,37,9,0,9
Post Grad,connecticut,CT,Biden,65,33,7,0,7
Post Grad,delaware,DE,Biden,65,34,3,0,3
Post Grad,florida,FL,Trump,49,50,0,29,29
Post Grad,georgia,GA,Biden,54,44,16,0,16
Post Grad,hawaii,HI,Biden,58,39,4,0,4
Post Grad,illinois,IL,Biden,67,32,20,0,20
Post Grad,indiana,IN,Biden,48,46,11,0,11
Post Grad,iowa,IA,Biden,59,39,6,0,6
Post Grad,kansas,KS,Biden,57,39,6,0,6
Post Grad,kentucky,KY,Trump,44,54,0,8,8
Post Grad,louisiana,LA,Biden,50,48,8,0,8
Post Grad,maine,ME,Biden,64,29,4,0,4
Post Grad,maryland,MD,Biden,71,27,10,0,10
Post Grad,massachusetts,MA,Biden,75,23,11,0,11
Post Grad,michigan,MI,Biden,56,42,16,0,16
Post Grad,minnesota,MN,Biden,65,33,10,0,10
Post Grad,mississippi,MS,Trump,46,53,0,6,6
Post Grad,missouri,MO,Trump,48,50,0,10,10
Post Grad,montana,MT,Biden,66,30,3,0,3
Post Grad,nebraska,NE,Biden,50,49,5,0,5
Post Grad,nevada,NV,Biden,53,45,6,0,6
Post Grad,new-hampshire,NH,Biden,60,37,4,0,4
Post Grad,new-jersey,NJ,Biden,60,39,14,0,14
Post Grad,new-mexico,NM,Biden,61,35,5,0,5
Post Grad,new-york,NY,Biden,65,33,29,0,29
Post Grad,north-carolina,NC,Biden,56,43,15,0,15
Post Grad,ohio,OH,Biden,52,44,18,0,18
Post Grad,oregon,OR,Biden,72,26,7,0,7
Post Grad,pennsylvania,PA,Biden,60,39,20,0,20
Post Grad,south-carolina,SC,Trump,48,50,0,9,9
Post Grad,tennessee,TN,Trump,47,51,0,11,11
Post Grad,texas,TX,Biden,50,49,38,0,38
Post Grad,utah,UT,Trump,43,51,0,6,6
Post Grad,virginia,VA,Biden,57,40,13,0,13
Post Grad,washington,WA,Biden,64,32,12,0,12
Post Grad,wisconsin,WI,Biden,66,33,10,0,10
