Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Protestant,alabama,AL,Trump,23,75,0,9,9
Protestant,washington,WA,Trump,42,56,0,12,12
Protestant,oregon,OR,Trump,40,58,0,7,7
Protestant,california,CA,Trump,49,50,0,55,55
Protestant,nevada,NV,Trump,31,68,0,6,6
Protestant,idaho,ID,Trump,30,69,0,4,4
Protestant,utah,UT,Trump,40,55,0,6,6
Protestant,arizona,AZ,Trump,35,64,0,11,11
Protestant,new-mexico,NM,Trump,28,70,0,5,5
Protestant,colorado,CO,Trump,40,58,0,9,9
Protestant,montana,MT,Trump,26,71,0,3,3
Protestant,oklahoma,OK,Trump,25,73,0,7,7
Protestant,texas,TX,Trump,34,65,0,38,38
Protestant,louisiana,LA,Trump,35,63,0,8,8
Protestant,arkansas,AR,Trump,26,73,0,6,6
Protestant,missouri,MO,Trump,32,66,0,10,10
Protestant,iowa,IA,Trump,34,64,0,6,6
Protestant,minnesota,MN,Trump,44,54,0,10,10
Protestant,wisconsin,WI,Trump,40,59,0,10,10
Protestant,michigan,MI,Trump,41,58,0,16,16
Protestant,illinois,IL,Trump,48,50,0,20,20
Protestant,mississippi,MS,Trump,29,70,0,6,6
Protestant,georgia,GA,Trump,32,66,0,16,16
Protestant,florida,FL,Trump,35,64,0,29,29
Protestant,north-carolina,NC,Trump,37,62,0,15,15
Protestant,virginia,VA,Trump,44,54,0,13,13
Protestant,west-virginia,WV,Trump,23,76,0,5,5
Protestant,kentucky,KY,Trump,29,70,0,8,8
Protestant,pennsylvania,PA,Trump,40,59,0,20,20
Protestant,new-york,NY,Biden,50,49,29,0,29
Protestant,new-jersey,NJ,Biden,58,40,14,0,14
Protestant,massachusetts,MA,Biden,56,43,11,0,11
Protestant,maine,ME,Trump,40,58,0,4,4
Protestant,new-hampshire,NH,Trump,38,60,0,4,4
Protestant,connecticut,CT,Biden,58,41,7,0,7
Protestant,maryland,MD,Biden,54,44,10,0,10
Protestant,ohio,OH,Trump,35,63,0,18,18
Protestant,indiana,IN,Trump,33,64,0,11,11
Protestant,nebraska,NE,Trump,30,69,0,5,5
Protestant,kansas,KS,Trump,34,64,0,6,6
Protestant,tennessee,TN,Trump,28,70,0,11,11
Protestant,delaware,DE,Trump,47,51,0,3,3
Protestant,alaska,AK,Trump,27,68,0,3,3
Protestant,south-carolina,SC,Trump,31,67,0,9,9
