Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Rural,alabama,AL,Trump,23,77,0,9,9
Rural,washington,WA,Trump,44,54,0,12,12
Rural,oregon,OR,Trump,36,61,0,7,7
Rural,california,CA,Biden,51,46,55,0,55
Rural,nevada,NV,Trump,40,58,0,6,6
Rural,idaho,ID,Trump,25,73,0,4,4
Rural,utah,UT,Trump,17,79,0,6,6
Rural,arizona,AZ,Trump,43,55,0,11,11
Rural,new-mexico,NM,Trump,44,55,0,5,5
Rural,colorado,CO,Trump,34,63,0,9,9
Rural,montana,MT,Trump,28,70,0,3,3
Rural,oklahoma,OK,Trump,21,78,0,7,7
Rural,texas,TX,Trump,26,73,0,38,38
Rural,louisiana,LA,Trump,28,70,0,8,8
Rural,arkansas,AR,Trump,26,72,0,6,6
Rural,missouri,MO,Trump,21,77,0,10,10
Rural,iowa,IA,Trump,35,63,0,6,6
Rural,minnesota,MN,Trump,34,65,0,10,10
Rural,wisconsin,WI,Trump,36,63,0,10,10
Rural,michigan,MI,Trump,34,64,0,16,16
Rural,illinois,IL,Trump,35,63,0,20,20
Rural,mississippi,MS,Trump,31,68,0,6,6
Rural,georgia,GA,Trump,30,69,0,16,16
Rural,florida,FL,Trump,36,63,0,29,29
Rural,north-carolina,NC,Trump,34,65,0,15,15
Rural,virginia,VA,Trump,36,62,0,13,13
Rural,west-virginia,WV,Trump,19,79,0,5,5
Rural,kentucky,KY,Trump,22,77,0,8,8
Rural,pennsylvania,PA,Trump,30,68,0,20,20
Rural,new-york,NY,Trump,43,56,0,29,29
Rural,new-jersey,NJ,Trump,44,56,0,14,14
Rural,massachusetts,MA,Biden,52,45,11,0,11
Rural,maine,ME,Trump,49,49,0,4,4
Rural,vermont,VT,Biden,67,30,3,0,3
Rural,new-hampshire,NH,Biden,50,49,4,0,4
Rural,connecticut,CT,Trump,47,51,0,7,7
Rural,maryland,MD,Trump,38,59,0,10,10
Rural,ohio,OH,Trump,29,69,0,18,18
Rural,indiana,IN,Trump,27,70,0,11,11
Rural,nebraska,NE,Trump,21,77,0,5,5
Rural,kansas,KS,Trump,25,72,0,6,6
Rural,tennessee,TN,Trump,26,72,0,11,11
Rural,delaware,DE,Trump,48,49,0,3,3
Rural,alaska,AK,Trump,37,61,0,3,3
Rural,south-carolina,SC,Trump,42,58,0,9,9
