Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Single,arizona,AZ,Biden,59,40,11,0,11
Single,california,CA,Biden,71,27,55,0,55
Single,colorado,CO,Biden,72,27,9,0,9
Single,connecticut,CT,Biden,68,29,7,0,7
Single,florida,FL,Biden,62,38,29,0,29
Single,georgia,GA,Biden,61,37,16,0,16
Single,illinois,IL,Biden,65,33,20,0,20
Single,indiana,IN,Biden,63,34,11,0,11
Single,iowa,IA,Biden,63,35,6,0,6
Single,kentucky,KY,Trump,43,54,0,8,8
Single,louisiana,LA,Biden,66,33,8,0,8
Single,maryland,MD,Biden,75,25,10,0,10
Single,massachusetts,MA,Biden,73,22,11,0,11
Single,michigan,MI,Biden,56,42,16,0,16
Single,minnesota,MN,Biden,61,38,10,0,10
Single,missouri,MO,Biden,55,43,10,0,10
Single,nevada,NV,Biden,63,33,6,0,6
Single,new-jersey,NJ,Biden,68,30,14,0,14
Single,new-york,NY,Biden,71,28,29,0,29
Single,north-carolina,NC,Biden,63,36,15,0,15
Single,ohio,OH,Biden,58,40,18,0,18
Single,oregon,OR,Biden,61,37,7,0,7
Single,pennsylvania,PA,Biden,65,34,20,0,20
Single,south-carolina,SC,Biden,68,31,9,0,9
Single,texas,TX,Biden,66,33,38,0,38
Single,virginia,VA,Biden,71,26,13,0,13
Single,washington,WA,Biden,75,20,12,0,12
Single,wisconsin,WI,Biden,60,38,10,0,10
