Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Small Town,alabama,AL,Trump,34,64,0,9,9
Small Town,washington,WA,Biden,51,46,12,0,12
Small Town,oregon,OR,Trump,48,50,0,7,7
Small Town,california,CA,Biden,61,38,55,0,55
Small Town,nevada,NV,Trump,39,59,0,6,6
Small Town,idaho,ID,Trump,28,69,0,4,4
Small Town,utah,UT,Trump,20,75,0,6,6
Small Town,arizona,AZ,Trump,41,58,0,11,11
Small Town,new-mexico,NM,Biden,56,42,5,0,5
Small Town,colorado,CO,Biden,50,49,9,0,9
Small Town,montana,MT,Trump,45,52,0,3,3
Small Town,oklahoma,OK,Trump,25,73,0,7,7
Small Town,texas,TX,Trump,38,61,0,38,38
Small Town,louisiana,LA,Trump,34,64,0,8,8
Small Town,arkansas,AR,Trump,28,66,0,6,6
Small Town,missouri,MO,Trump,28,70,0,10,10
Small Town,iowa,IA,Trump,40,59,0,6,6
Small Town,minnesota,MN,Trump,43,55,0,10,10
Small Town,wisconsin,WI,Trump,48,50,0,10,10
Small Town,michigan,MI,Trump,49,50,0,16,16
Small Town,illinois,IL,Trump,40,57,0,20,20
Small Town,mississippi,MS,Trump,45,53,0,6,6
Small Town,georgia,GA,Trump,36,61,0,16,16
Small Town,florida,FL,Trump,44,55,0,29,29
Small Town,north-carolina,NC,Trump,45,55,0,15,15
Small Town,virginia,VA,Trump,45,54,0,13,13
Small Town,west-virginia,WV,Trump,33,65,0,5,5
Small Town,kentucky,KY,Trump,33,66,0,8,8
Small Town,pennsylvania,PA,Trump,46,53,0,20,20
Small Town,new-york,NY,Trump,44,54,0,29,29
Small Town,new-jersey,NJ,Trump,48,51,0,14,14
Small Town,massachusetts,MA,Biden,58,41,11,0,11
Small Town,maine,ME,Biden,52,46,4,0,4
Small Town,new-hampshire,NH,Biden,54,43,4,0,4
Small Town,connecticut,CT,Biden,52,47,7,0,7
Small Town,maryland,MD,Biden,52,47,10,0,10
Small Town,ohio,OH,Trump,33,65,0,18,18
Small Town,indiana,IN,Trump,39,60,0,11,11
Small Town,nebraska,NE,Trump,30,66,0,5,5
Small Town,kansas,KS,Trump,31,67,0,6,6
Small Town,tennessee,TN,Trump,26,72,0,11,11
Small Town,delaware,DE,Biden,50,49,3,0,3
Small Town,alaska,AK,Biden,50,46,3,0,3
Small Town,south-carolina,SC,Trump,41,58,0,9,9
