Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Some College,alabama,AL,Trump,36,63,0,9,9
Some College,alaska,AK,Trump,37,58,0,3,3
Some College,arizona,AZ,Trump,47,51,0,11,11
Some College,arkansas,AR,Trump,34,63,0,6,6
Some College,california,CA,Biden,62,36,55,0,55
Some College,colorado,CO,Biden,51,47,9,0,9
Some College,connecticut,CT,Biden,56,42,7,0,7
Some College,delaware,DE,Biden,55,43,3,0,3
Some College,florida,FL,Trump,45,53,0,29,29
Some College,georgia,GA,Trump,48,50,0,16,16
Some College,hawaii,HI,Biden,55,42,4,0,4
Some College,idaho,ID,Trump,31,67,0,4,4
Some College,illinois,IL,Biden,53,44,20,0,20
Some College,indiana,IN,Trump,39,59,0,11,11
Some College,iowa,IA,Trump,40,59,0,6,6
Some College,kansas,KS,Trump,38,58,0,6,6
Some College,kentucky,KY,Trump,35,64,0,8,8
Some College,louisiana,LA,Trump,42,56,0,8,8
Some College,maine,ME,Trump,45,52,0,4,4
Some College,maryland,MD,Biden,64,34,10,0,10
Some College,massachusetts,MA,Biden,56,42,11,0,11
Some College,michigan,MI,Trump,49,49,0,16,16
Some College,minnesota,MN,Trump,49,49,0,10,10
Some College,mississippi,MS,Trump,43,54,0,6,6
Some College,missouri,MO,Trump,41,57,0,10,10
Some College,montana,MT,Trump,33,63,0,3,3
Some College,nebraska,NE,Trump,32,66,0,5,5
Some College,nevada,NV,Biden,49,48,6,0,6
Some College,new-hampshire,NH,Trump,46,51,0,4,4
Some College,new-jersey,NJ,Biden,51,47,14,0,14
Some College,new-mexico,NM,Biden,55,43,5,0,5
Some College,new-york,NY,Trump,48,50,0,29,29
Some College,north-carolina,NC,Trump,46,53,0,15,15
Some College,ohio,OH,Trump,43,55,0,18,18
Some College,oklahoma,OK,Trump,36,62,0,7,7
Some College,oregon,OR,Biden,49,48,7,0,7
Some College,pennsylvania,PA,Trump,49,50,0,20,20
Some College,rhode-island,RI,Biden,60,39,4,0,4
Some College,south-carolina,SC,Trump,43,56,0,9,9
Some College,tennessee,TN,Trump,40,59,0,11,11
Some College,texas,TX,Trump,46,53,0,38,38
Some College,utah,UT,Trump,34,63,0,6,6
Some College,virginia,VA,Trump,48,50,0,13,13
Some College,washington,WA,Biden,55,42,12,0,12
Some College,west-virginia,WV,Trump,30,68,0,5,5
Some College,wisconsin,WI,Trump,46,52,0,10,10
