Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Suburban,alabama,AL,Trump,42,55,0,9,9
Suburban,washington,WA,Biden,59,38,12,0,12
Suburban,oregon,OR,Biden,64,34,7,0,7
Suburban,california,CA,Biden,64,34,55,0,55
Suburban,nevada,NV,Trump,48,49,0,6,6
Suburban,idaho,ID,Trump,35,62,0,4,4
Suburban,utah,UT,Trump,41,54,0,6,6
Suburban,arizona,AZ,Trump,48,51,0,11,11
Suburban,new-mexico,NM,Biden,58,39,5,0,5
Suburban,colorado,CO,Biden,58,39,9,0,9
Suburban,montana,MT,Trump,48,48,0,3,3
Suburban,oklahoma,OK,Trump,39,59,0,7,7
Suburban,texas,TX,Biden,50,49,38,0,38
Suburban,louisiana,LA,Trump,37,62,0,8,8
Suburban,arkansas,AR,Trump,46,52,0,6,6
Suburban,missouri,MO,Biden,50,47,10,0,10
Suburban,iowa,IA,Biden,50,48,6,0,6
Suburban,minnesota,MN,Biden,56,42,10,0,10
Suburban,wisconsin,WI,Biden,51,47,10,0,10
Suburban,michigan,MI,Biden,54,44,16,0,16
Suburban,illinois,IL,Biden,61,37,20,0,20
Suburban,mississippi,MS,Trump,39,59,0,6,6
Suburban,georgia,GA,Biden,55,43,16,0,16
Suburban,florida,FL,Trump,48,51,0,29,29
Suburban,north-carolina,NC,Biden,55,43,15,0,15
Suburban,virginia,VA,Biden,61,37,13,0,13
Suburban,west-virginia,WV,Trump,40,56,0,5,5
Suburban,kentucky,KY,Trump,46,52,0,8,8
Suburban,pennsylvania,PA,Biden,54,44,20,0,20
Suburban,new-york,NY,Trump,49,49,0,29,29
Suburban,new-jersey,NJ,Biden,59,40,14,0,14
Suburban,massachusetts,MA,Biden,65,33,11,0,11
Suburban,maine,ME,Biden,63,31,4,0,4
Suburban,new-hampshire,NH,Biden,52,46,4,0,4
Suburban,rhode-island,RI,Biden,58,39,4,0,4
Suburban,connecticut,CT,Biden,62,36,7,0,7
Suburban,maryland,MD,Biden,70,28,10,0,10
Suburban,ohio,OH,Biden,50,48,18,0,18
Suburban,indiana,IN,Trump,43,53,0,11,11
Suburban,nebraska,NE,Trump,43,54,0,5,5
Suburban,kansas,KS,Biden,52,45,6,0,6
Suburban,tennessee,TN,Trump,40,58,0,11,11
Suburban,delaware,DE,Biden,62,36,3,0,3
Suburban,alaska,AK,Trump,35,59,0,3,3
Suburban,hawaii,HI,Biden,57,40,4,0,4
Suburban,south-carolina,SC,Trump,44,55,0,9,9
