Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
"Under $25,000",alabama,AL,Trump,48,51,0,9,9
"Under $25,000",arizona,AZ,Biden,50,48,11,0,11
"Under $25,000",arkansas,AR,Trump,33,65,0,6,6
"Under $25,000",california,CA,Biden,76,22,55,0,55
"Under $25,000",colorado,CO,Biden,60,37,9,0,9
"Under $25,000",connecticut,CT,Biden,66,31,7,0,7
"Under $25,000",florida,FL,Biden,54,45,29,0,29
"Under $25,000",georgia,GA,Biden,54,44,16,0,16
"Under $25,000",illinois,IL,Biden,61,36,20,0,20
"Under $25,000",indiana,IN,Trump,47,52,0,11,11
"Under $25,000",iowa,IA,Biden,58,41,6,0,6
"Under $25,000",kansas,KS,Trump,46,50,0,6,6
"Under $25,000",kentucky,KY,Trump,37,61,0,8,8
"Under $25,000",louisiana,LA,Biden,53,45,8,0,8
"Under $25,000",maine,ME,Biden,54,44,4,0,4
"Under $25,000",maryland,MD,Biden,74,25,10,0,10
"Under $25,000",massachusetts,MA,Biden,67,32,11,0,11
"Under $25,000",michigan,MI,Biden,60,40,16,0,16
"Under $25,000",minnesota,MN,Biden,56,42,10,0,10
"Under $25,000",mississippi,MS,Trump,49,49,0,6,6
"Under $25,000",missouri,MO,Trump,40,58,0,10,10
"Under $25,000",montana,MT,Trump,43,49,0,3,3
"Under $25,000",nebraska,NE,Trump,43,54,0,5,5
"Under $25,000",nevada,NV,Biden,58,39,6,0,6
"Under $25,000",new-hampshire,NH,Biden,62,36,4,0,4
"Under $25,000",new-jersey,NJ,Biden,64,34,14,0,14
"Under $25,000",new-mexico,NM,Biden,62,36,5,0,5
"Under $25,000",new-york,NY,Biden,61,38,29,0,29
"Under $25,000",north-carolina,NC,Biden,53,46,15,0,15
"Under $25,000",ohio,OH,Biden,53,47,18,0,18
"Under $25,000",oklahoma,OK,Trump,37,60,0,7,7
"Under $25,000",oregon,OR,Biden,51,44,7,0,7
"Under $25,000",pennsylvania,PA,Biden,54,46,20,0,20
"Under $25,000",south-carolina,SC,Biden,60,39,9,0,9
"Under $25,000",tennessee,TN,Trump,41,58,0,11,11
"Under $25,000",texas,TX,Biden,53,46,38,0,38
"Under $25,000",utah,UT,Trump,41,52,0,6,6
"Under $25,000",virginia,VA,Biden,63,35,13,0,13
"Under $25,000",washington,WA,Biden,60,37,12,0,12
"Under $25,000",west-virginia,WV,Trump,28,70,0,5,5
"Under $25,000",wisconsin,WI,Biden,61,37,10,0,10
