Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Urban,alabama,AL,Biden,59,40,9,0,9
Urban,washington,WA,Biden,74,25,12,0,12
Urban,oregon,OR,Biden,72,25,7,0,7
Urban,california,CA,Biden,68,30,55,0,55
Urban,nevada,NV,Biden,59,39,6,0,6
Urban,utah,UT,Biden,59,38,6,0,6
Urban,arizona,AZ,Biden,59,40,11,0,11
Urban,new-mexico,NM,Biden,60,37,5,0,5
Urban,colorado,CO,Biden,66,32,9,0,9
Urban,montana,MT,Biden,54,42,3,0,3
Urban,oklahoma,OK,Trump,43,55,0,7,7
Urban,texas,TX,Biden,58,41,38,0,38
Urban,louisiana,LA,Biden,67,32,8,0,8
Urban,missouri,MO,Biden,67,32,10,0,10
Urban,iowa,IA,Biden,62,36,6,0,6
Urban,minnesota,MN,Biden,75,23,10,0,10
Urban,wisconsin,WI,Biden,66,34,10,0,10
Urban,michigan,MI,Biden,68,31,16,0,16
Urban,illinois,IL,Biden,72,26,20,0,20
Urban,mississippi,MS,Biden,61,38,6,0,6
Urban,georgia,GA,Biden,68,31,16,0,16
Urban,florida,FL,Biden,55,44,29,0,29
Urban,north-carolina,NC,Biden,64,35,15,0,15
Urban,virginia,VA,Biden,63,34,13,0,13
Urban,kentucky,KY,Biden,61,38,8,0,8
Urban,pennsylvania,PA,Biden,67,32,20,0,20
Urban,new-york,NY,Biden,73,25,29,0,29
Urban,new-jersey,NJ,Biden,67,31,14,0,14
Urban,massachusetts,MA,Biden,78,20,11,0,11
Urban,maine,ME,Biden,54,42,4,0,4
Urban,new-hampshire,NH,Biden,52,46,4,0,4
Urban,connecticut,CT,Biden,70,27,7,0,7
Urban,maryland,MD,Biden,79,20,10,0,10
Urban,ohio,OH,Biden,63,36,18,0,18
Urban,indiana,IN,Biden,57,42,11,0,11
Urban,nebraska,NE,Biden,60,39,5,0,5
Urban,kansas,KS,Biden,50,47,6,0,6
Urban,tennessee,TN,Biden,67,31,11,0,11
Urban,delaware,DE,Biden,74,23,3,0,3
Urban,alaska,AK,Biden,51,47,3,0,3
Urban,hawaii,HI,Biden,68,30,4,0,4
Urban,south-carolina,SC,Biden,54,43,9,0,9
