Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
White,wyoming,WY,Trump,28,69,0,3,3
White,wisconsin,WI,Trump,48,51,0,10,10
White,west-virginia,WV,Trump,27,71,0,5,5
White,washington,WA,Biden,57,40,12,0,12
White,virginia,VA,Trump,45,52,0,13,13
White,vermont,VT,Biden,67,31,3,0,3
White,utah,UT,Trump,37,59,0,6,6
White,texas,TX,Trump,32,67,0,38,38
White,tennessee,TN,Trump,29,69,0,11,11
White,south-dakota,SD,Trump,35,63,0,3,3
White,south-carolina,SC,Trump,29,69,0,9,9
White,rhode-island,RI,Biden,57,41,4,0,4
White,pennsylvania,PA,Trump,45,54,0,20,20
White,oregon,OR,Biden,57,40,7,0,7
White,oklahoma,OK,Trump,28,71,0,7,7
White,ohio,OH,Trump,39,59,0,18,18
White,north-dakota,ND,Trump,31,66,0,3,3
White,north-carolina,NC,Trump,38,61,0,15,15
White,new-york,NY,Trump,47,52,0,29,29
White,new-mexico,NM,Biden,49,48,5,0,5
White,new-jersey,NJ,Biden,50,49,14,0,14
White,new-hampshire,NH,Biden,53,45,4,0,4
White,nevada,NV,Trump,45,53,0,6,6
White,nebraska,NE,Trump,37,61,0,5,5
White,montana,MT,Trump,39,57,0,3,3
White,missouri,MO,Trump,36,62,0,10,10
White,mississippi,MS,Trump,18,81,0,6,6
White,minnesota,MN,Biden,51,47,10,0,10
White,michigan,MI,Trump,45,53,0,16,16
White,massachusetts,MA,Biden,63,35,11,0,11
White,maryland,MD,Biden,52,46,10,0,10
White,maine,ME,Biden,54,44,4,0,4
White,louisiana,LA,Trump,22,77,0,8,8
White,kentucky,KY,Trump,32,66,0,8,8
White,kansas,KS,Trump,38,59,0,6,6
White,iowa,IA,Trump,44,54,0,6,6
White,indiana,IN,Trump,36,61,0,11,11
White,illinois,IL,Biden,50,49,20,0,20
White,idaho,ID,Trump,32,64,0,4,4
White,hawaii,HI,Biden,63,35,4,0,4
White,georgia,GA,Trump,29,69,0,16,16
White,florida,FL,Trump,39,61,0,29,29
White,delaware,DE,Biden,50,48,3,0,3
White,connecticut,CT,Biden,55,43,7,0,7
White,colorado,CO,Biden,53,44,9,0,9
White,california,CA,Biden,56,42,55,0,55
White,arkansas,AR,Trump,26,72,0,6,6
White,arizona,AZ,Trump,45,53,0,11,11
White,alaska,AK,Trump,44,53,0,3,3
White,alabama,AL,Trump,20,78,0,9,9
