Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Women,alabama,AL,Trump,40,59,0,9,9
Women,alaska,AK,Biden,52,45,3,0,3
Women,arizona,AZ,Biden,52,47,11,0,11
Women,arkansas,AR,Trump,36,60,0,6,6
Women,california,CA,Biden,68,30,55,0,55
Women,colorado,CO,Biden,61,36,9,0,9
Women,connecticut,CT,Biden,64,34,7,0,7
Women,delaware,DE,Biden,64,34,3,0,3
Women,florida,FL,Biden,51,48,29,0,29
Women,georgia,GA,Biden,54,44,16,0,16
Women,hawaii,HI,Biden,71,28,4,0,4
Women,idaho,ID,Trump,38,58,0,4,4
Women,illinois,IL,Biden,63,36,20,0,20
Women,indiana,IN,Trump,43,55,0,11,11
Women,iowa,IA,Trump,48,50,0,6,6
Women,kansas,KS,Trump,45,53,0,6,6
Women,kentucky,KY,Trump,39,59,0,8,8
Women,louisiana,LA,Trump,43,56,0,8,8
Women,maine,ME,Biden,56,43,4,0,4
Women,maryland,MD,Biden,68,31,10,0,10
Women,massachusetts,MA,Biden,72,26,11,0,11
Women,michigan,MI,Biden,58,41,16,0,16
Women,minnesota,MN,Biden,57,42,10,0,10
Women,mississippi,MS,Trump,43,56,0,6,6
Women,missouri,MO,Trump,45,55,0,10,10
Women,montana,MT,Trump,44,53,0,3,3
Women,nebraska,NE,Trump,41,57,0,5,5
Women,nevada,NV,Biden,56,42,6,0,6
Women,new-hampshire,NH,Biden,57,41,4,0,4
Women,new-jersey,NJ,Biden,64,35,14,0,14
Women,new-mexico,NM,Biden,57,41,5,0,5
Women,new-york,NY,Biden,60,39,29,0,29
Women,north-carolina,NC,Biden,52,47,15,0,15
Women,north-dakota,ND,Trump,38,58,0,3,3
Women,ohio,OH,Trump,49,50,0,18,18
Women,oklahoma,OK,Trump,37,62,0,7,7
Women,oregon,OR,Biden,62,36,7,0,7
Women,pennsylvania,PA,Biden,52,47,20,0,20
Women,rhode-island,RI,Biden,60,39,4,0,4
Women,south-carolina,SC,Trump,49,49,0,9,9
Women,south-dakota,SD,Trump,41,58,0,3,3
Women,tennessee,TN,Trump,41,57,0,11,11
Women,texas,TX,Trump,49,50,0,38,38
Women,utah,UT,Trump,41,56,0,6,6
Women,vermont,VT,Biden,78,20,3,0,3
Women,virginia,VA,Biden,57,41,13,0,13
Women,washington,WA,Biden,62,35,12,0,12
Women,west-virginia,WV,Trump,29,69,0,5,5
Women,wisconsin,WI,Biden,53,46,10,0,10
